Index	Name	Description	File Name	Quantity
10.1.3.4.1.1.3.2	2.54 mm DUPONT MALE PIN HEADER, POE, 2X2, RPi4ModelB001		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.3.3	2.54 mm DUPONT MALE PIN HEADER, POE, 2X2, RPi4ModelB002		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.3.4	2.54 mm DUPONT MALE PIN HEADER, POE, 2X2, RPi4ModelB003		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.3.5	2.54 mm DUPONT MALE PIN HEADER, POE, 2X2, RPi4ModelB004		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB041		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.1	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.2	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB001		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.3	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB002		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.4	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB003		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.5	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB004		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.6	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB005		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.7	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB006		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.8	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB007		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.9	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB008		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.10	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB009		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.11	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB010		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.12	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB011		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
10.1.3.4.1.1.4.13	2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB012		/home/djordje/Desktop/slat-sort-cam-dark-box/downloads/raspberry_pi_4_model_b.FCStd	1
